State name,Population
ARUNACHAL PRADESH,78690
ARUNACHAL PRADESH,176573
ARUNACHAL PRADESH,83448
ARUNACHAL PRADESH,112274
ARUNACHAL PRADESH,99214
ARUNACHAL PRADESH,35320
ARUNACHAL PRADESH,148226
ARUNACHAL PRADESH,111975
ARUNACHAL PRADESH,83030
ARUNACHAL PRADESH,92076
ARUNACHAL PRADESH,8004
ARUNACHAL PRADESH,54080
ARUNACHAL PRADESH,145726
ARUNACHAL PRADESH,21167
NAGALAND,250260
NAGALAND,194622
NAGALAND,140757
NAGALAND,166343
NAGALAND,378811
NAGALAND,163418
NAGALAND,196596
NAGALAND,50484
NAGALAND,74004
NAGALAND,267988
NAGALAND,95219
MANIPUR,479148
MANIPUR,140651
MANIPUR,274143
MANIPUR,237399
MANIPUR,422168
MANIPUR,517992
MANIPUR,456113
MANIPUR,183998
MANIPUR,144182
MIZORAM,86364
MIZORAM,83955
MIZORAM,400309
MIZORAM,125745
MIZORAM,64937
MIZORAM,161428
MIZORAM,117894
MIZORAM,56574
TRIPURA,1725739
TRIPURA,876001
TRIPURA,378230
TRIPURA,693947
MEGHALAYA,643291
MEGHALAYA,317917
MEGHALAYA,142334
MEGHALAYA,383461
MEGHALAYA,258840
MEGHALAYA,825922
MEGHALAYA,395124
ASSAM,887142
ASSAM,1949258
ASSAM,1008183
ASSAM,1693622
ASSAM,957423
ASSAM,2823768
ASSAM,1924110
ASSAM,1042137
ASSAM,686133
ASSAM,1327929
ASSAM,1326335
ASSAM,1151050
ASSAM,1092256
ASSAM,1066888
ASSAM,956313
ASSAM,214102
ASSAM,1736617
ASSAM,1228686
ASSAM,659296
ASSAM,738804
ASSAM,482162
ASSAM,1517542
ASSAM,1253938
ASSAM,771639
ASSAM,950075
ASSAM,928500
ASSAM,831668
WEST BENGAL,1846823
WEST BENGAL,3872846
WEST BENGAL,2819086
WEST BENGAL,3007134
WEST BENGAL,1676276
WEST BENGAL,3988845
WEST BENGAL,7103807
WEST BENGAL,3502404
WEST BENGAL,7717563
WEST BENGAL,5167600
WEST BENGAL,10009781
WEST BENGAL,5519145
WEST BENGAL,3596674
WEST BENGAL,2930115
WEST BENGAL,4850029
WEST BENGAL,4496694
WEST BENGAL,8161961
WEST BENGAL,5913457
WEST BENGAL,5095875
JHARKHAND,1322784
JHARKHAND,1042886
JHARKHAND,716259
JHARKHAND,2445474
JHARKHAND,1492073
JHARKHAND,1313551
JHARKHAND,1150567
JHARKHAND,900422
JHARKHAND,2684487
JHARKHAND,2062330
JHARKHAND,461790
JHARKHAND,2293919
JHARKHAND,1939869
JHARKHAND,726978
JHARKHAND,1734495
JHARKHAND,949443
JHARKHAND,1321442
JHARKHAND,791042
JHARKHAND,2914253
JHARKHAND,531885
JHARKHAND,1025213
JHARKHAND,599578
JHARKHAND,1502338
JHARKHAND,1065056
MADHYA PRADESH,687861
MADHYA PRADESH,1965970
MADHYA PRADESH,1703005
MADHYA PRADESH,2032036
MADHYA PRADESH,786754
MADHYA PRADESH,1726050
MADHYA PRADESH,1445166
MADHYA PRADESH,1762375
MADHYA PRADESH,1016520
MADHYA PRADESH,2378458
MADHYA PRADESH,1264219
MADHYA PRADESH,2228935
MADHYA PRADESH,2365106
MADHYA PRADESH,644758
MADHYA PRADESH,826067
MADHYA PRADESH,1340411
MADHYA PRADESH,1455069
MADHYA PRADESH,1986864
MADHYA PRADESH,1512681
MADHYA PRADESH,1563715
MADHYA PRADESH,2185793
MADHYA PRADESH,3276697
MADHYA PRADESH,1873046
MADHYA PRADESH,1385881
MADHYA PRADESH,1545814
MADHYA PRADESH,1458875
MADHYA PRADESH,2371061
MADHYA PRADESH,1311332
MADHYA PRADESH,1331597
MADHYA PRADESH,1575362
MADHYA PRADESH,570465
MADHYA PRADESH,1241350
MADHYA PRADESH,1292042
MADHYA PRADESH,2463289
MADHYA PRADESH,1091854
MADHYA PRADESH,704524
MADHYA PRADESH,1054905
MADHYA PRADESH,2090922
MADHYA PRADESH,1379131
MADHYA PRADESH,1701698
MADHYA PRADESH,1241519
MADHYA PRADESH,845071
MADHYA PRADESH,1066063
MADHYA PRADESH,749237
MADHYA PRADESH,1127033
MADHYA PRADESH,1178273
MADHYA PRADESH,1025048
MADHYA PRADESH,728999
MADHYA PRADESH,1310061
MADHYA PRADESH,757847
GUJARAT,2092371
GUJARAT,3120506
GUJARAT,1343734
GUJARAT,2035064
GUJARAT,2428589
GUJARAT,1391753
GUJARAT,7214225
GUJARAT,1756268
GUJARAT,3804558
GUJARAT,2160119
GUJARAT,585449
GUJARAT,2743082
GUJARAT,1514190
GUJARAT,2880365
GUJARAT,2092745
GUJARAT,2299885
GUJARAT,2390776
GUJARAT,2127086
GUJARAT,4165626
GUJARAT,590297
GUJARAT,1551019
GUJARAT,228291
GUJARAT,1329672
GUJARAT,1705678
GUJARAT,6081322
GUJARAT,807022
DAMAN AND DIU,52074
DAMAN AND DIU,191173
DADRA AND NAGAR HAVELI,343709
MAHARASHTRA,1648295
MAHARASHTRA,2050862
MAHARASHTRA,4229917
MAHARASHTRA,2586258
MAHARASHTRA,1813906
MAHARASHTRA,1197160
MAHARASHTRA,2888445
MAHARASHTRA,1300774
MAHARASHTRA,4653570
MAHARASHTRA,1200334
MAHARASHTRA,1322507
MAHARASHTRA,1072942
MAHARASHTRA,2204307
MAHARASHTRA,2772348
MAHARASHTRA,3361292
MAHARASHTRA,1177345
MAHARASHTRA,1836086
MAHARASHTRA,1959046
MAHARASHTRA,3701282
MAHARASHTRA,6107187
MAHARASHTRA,11060148
MAHARASHTRA,9356962
MAHARASHTRA,3085411
MAHARASHTRA,2634200
MAHARASHTRA,9429408
MAHARASHTRA,4543159
MAHARASHTRA,2585049
MAHARASHTRA,2454196
MAHARASHTRA,1657576
MAHARASHTRA,4317756
MAHARASHTRA,3003741
MAHARASHTRA,1615069
MAHARASHTRA,849651
MAHARASHTRA,3876001
MAHARASHTRA,2822143
ANDHRA PRADESH,2741239
ANDHRA PRADESH,2551335
ANDHRA PRADESH,3776269
ANDHRA PRADESH,3033288
ANDHRA PRADESH,3943323
ANDHRA PRADESH,5296741
ANDHRA PRADESH,4053028
ANDHRA PRADESH,3488809
ANDHRA PRADESH,3512576
ANDHRA PRADESH,2797370
ANDHRA PRADESH,2703114
ANDHRA PRADESH,2344474
ANDHRA PRADESH,4290589
ANDHRA PRADESH,5154296
ANDHRA PRADESH,3936966
ANDHRA PRADESH,4517398
ANDHRA PRADESH,4887813
ANDHRA PRADESH,3397448
ANDHRA PRADESH,2963557
ANDHRA PRADESH,2882469
ANDHRA PRADESH,4053463
ANDHRA PRADESH,4081148
ANDHRA PRADESH,4174064
KARNATAKA,4779661
KARNATAKA,1889752
KARNATAKA,2177331
KARNATAKA,1703300
KARNATAKA,1928812
KARNATAKA,1389920
KARNATAKA,1064570
KARNATAKA,1847023
KARNATAKA,1437169
KARNATAKA,1597668
KARNATAKA,2452595
KARNATAKA,1659456
KARNATAKA,1945497
KARNATAKA,1752753
KARNATAKA,1177361
KARNATAKA,1137961
KARNATAKA,2678980
KARNATAKA,9621551
KARNATAKA,1805769
KARNATAKA,1776421
KARNATAKA,2089649
KARNATAKA,554519
KARNATAKA,3001127
KARNATAKA,1020791
KARNATAKA,2566326
KARNATAKA,1174271
KARNATAKA,1536401
KARNATAKA,1255104
KARNATAKA,990923
KARNATAKA,1082636
GOA,818008
GOA,640537
LAKSHADWEEP,64473
KERALA,1307375
KERALA,2523003
KERALA,817420
KERALA,3086293
KERALA,4112920
KERALA,2809934
KERALA,3121200
KERALA,3282388
KERALA,1108974
KERALA,1974551
KERALA,2127789
KERALA,1197412
KERALA,2635375
KERALA,3301427
TAMIL NADU,3728104
TAMIL NADU,4646732
TAMIL NADU,3998252
TAMIL NADU,3936331
TAMIL NADU,2464875
TAMIL NADU,3458873
TAMIL NADU,3482056
TAMIL NADU,1726601
TAMIL NADU,2251744
TAMIL NADU,735394
TAMIL NADU,2159775
TAMIL NADU,1064493
TAMIL NADU,2722290
TAMIL NADU,565223
TAMIL NADU,754894
TAMIL NADU,2605914
TAMIL NADU,1616450
TAMIL NADU,1264277
TAMIL NADU,2405890
TAMIL NADU,1618345
TAMIL NADU,1339101
TAMIL NADU,3038252
TAMIL NADU,1245899
TAMIL NADU,1942288
TAMIL NADU,1353445
TAMIL NADU,1750176
TAMIL NADU,3077233
TAMIL NADU,1870374
TAMIL NADU,1506843
TAMIL NADU,1879809
TAMIL NADU,3458045
TAMIL NADU,2479052
PONDICHERRY,55626
PONDICHERRY,950289
PONDICHERRY,41816
PONDICHERRY,200222
ANDAMAN AND NICOBAR ISLANDS,36842
ANDAMAN AND NICOBAR ISLANDS,105597
ANDAMAN AND NICOBAR ISLANDS,238142
